datetime,close,high,low,open,volume,volume_buy,volume_sell
2023-07-27 07:00:00,1860.28,1885.57,1854.0,1870.97,1593279.389,779440.579,813838.8099999999
2023-07-28 07:00:00,1873.39,1883.76,1855.57,1860.29,1378048.23,693925.831,684122.399
2023-07-29 07:00:00,1879.85,1886.19,1868.56,1873.38,749505.043,388500.308,361004.7349999999
2023-07-30 07:00:00,1860.76,1885.0,1845.56,1879.86,1386061.233,670091.701,715969.532
2023-07-31 07:00:00,1855.39,1876.73,1850.08,1860.77,1421399.856,700919.539,720480.3169999999
2023-08-01 07:00:00,1873.05,1875.87,1808.47,1855.4,2857111.757,1427051.02,1430060.7370000002
2023-08-02 07:00:00,1839.07,1879.27,1820.0,1873.06,2433052.599,1173293.13,1259759.469
2023-08-03 07:00:00,1834.69,1858.9,1825.0,1839.07,1708783.419,845442.71,863340.709
2023-08-04 07:00:00,1829.4,1851.0,1808.77,1834.69,1914149.705,951612.842,962536.8630000001
2023-08-05 07:00:00,1835.5,1838.62,1826.7,1829.4,649573.659,325352.514,324221.14499999996
2023-08-06 07:00:00,1829.38,1838.6,1825.0,1835.5,804165.426,391074.683,413090.74299999996
2023-08-07 07:00:00,1828.18,1846.86,1800.0,1829.39,2235036.668,1104861.941,1130174.727
2023-08-08 07:00:00,1855.36,1878.0,1825.35,1828.18,2299167.676,1189879.77,1109287.906
2023-08-09 07:00:00,1854.7,1871.28,1845.18,1855.36,1405393.116,707642.124,697750.992
2023-08-10 07:00:00,1851.42,1865.38,1844.81,1854.69,1190359.595,580202.134,610157.461
2023-08-11 07:00:00,1848.04,1857.99,1834.52,1851.43,1079579.87,526457.122,553122.7480000001
2023-08-12 07:00:00,1849.14,1853.02,1845.35,1848.04,450661.209,223779.048,226882.16099999996
2023-08-13 07:00:00,1840.09,1861.93,1833.4,1849.14,841324.653,413565.853,427758.80000000005
2023-08-14 07:00:00,1844.81,1855.86,1834.28,1840.09,1283582.445,633864.721,649717.724
2023-08-15 07:00:00,1828.28,1846.75,1810.92,1844.8,1212865.745,554621.718,658244.0270000001
